table_name,field_name,language,translation,record_id,field_value
stops,stop_name,ga,An Caol,8490B5302501,
stops,stop_name,ga,An Caol,8490B530371,
stops,stop_name,ga,An Capall Dubh,8220GA00363,
stops,stop_name,ga,An Capall Dubh,8220GA00364,
stops,stop_name,ga,An Cárán,847000040,
stops,stop_name,ga,An Cárán,847000041,
stops,stop_name,ga,An Cárán,8490B558501,
stops,stop_name,ga,An Cárán,8510B558581,
stops,stop_name,ga,An Cárán Íochtarach,8490B532011,
stops,stop_name,ga,An Cárán Íochtarach,8490B5545801,
stops,stop_name,ga,An Carn,8360LL13724,
stops,stop_name,ga,An Carn Mór,8470B531071,
stops,stop_name,ga,An Carn Mór,8470B531081,
stops,stop_name,ga,An Carnán,8220DB001365,
stops,stop_name,ga,An Carnán,8220DB001382,
stops,stop_name,ga,An Carnán,8220DB001406,
stops,stop_name,ga,An Carnán,8220DB007906,
stops,stop_name,ga,An Carnán Rua,8300B107441,
stops,stop_name,ga,An Carnán Rua,8300B110041,
stops,stop_name,ga,An Carragán,8540LL11576,
stops,stop_name,ga,An Carragán,8540LL11577,
stops,stop_name,ga,An Carraigín,8530B141311,
stops,stop_name,ga,An Carraigín,8530B1413501,
stops,stop_name,ga,An Castán,8460B5243101,
stops,stop_name,ga,An Céad,8470PB000858,
stops,stop_name,ga,An Céad,8470PB14413,
stops,stop_name,ga,An Ceann Ramhar,849000077,
stops,stop_name,ga,An Ceann Ramhar,849000078,
stops,stop_name,ga,An Cearnóg,8230DB004342,
stops,stop_name,ga,An Céideadh,853000146,
stops,stop_name,ga,An Céideadh,853000147,
stops,stop_name,ga,An Chananach,8380B215641,
stops,stop_name,ga,An Chananach,8380B250761,
stops,stop_name,ga,An Chaolchoill,8380PB11464,
stops,stop_name,ga,An Chaolchoill,8380PB14747,
stops,stop_name,ga,An Charcair,8470B553271,
stops,stop_name,ga,An Charraig,8280B160441,
stops,stop_name,ga,An Charraig,8280B160721,
stops,stop_name,ga,An Charraig,8530B1404101,
stops,stop_name,ga,An Charraig,8530B140461,
stops,stop_name,ga,An Charraig Bhuí,8290LL14201,
stops,stop_name,ga,An Charraig Bhuí,8290LL14202,
stops,stop_name,ga,An Charraig Dhubh,8250DB003033,
stops,stop_name,ga,An Charraig Fhada,8380LL12343,
stops,stop_name,ga,An Charraig Fhada,8380LL12350,
stops,stop_name,ga,An Charraig Leathan,834000072,
stops,stop_name,ga,An Charraig Leathan,834000102,
stops,stop_name,ga,An Charraig Leathan,834000106,
stops,stop_name,ga,An Charraig Leathan,834000468,
stops,stop_name,ga,An Charraig Mhór,8380B247481,
stops,stop_name,ga,An Charraig Mhór,8380B247492,
stops,stop_name,ga,An Charraig Mhór,8530LL10842,
stops,stop_name,ga,An Charraig Rua,8540LL12616,
stops,stop_name,ga,An Charraig Rua,8540LL12617,
stops,stop_name,ga,An Chathair,8430B155341,
stops,stop_name,ga,An Chathair,8430B1553901,
stops,stop_name,ga,An Chathair,8470B530961,
stops,stop_name,ga,An Chathair,8470B533141,
stops,stop_name,ga,An Ché Adhmaid,8220DB001443,
stops,stop_name,ga,An Ché Theas,8410B3356901,
stops,stop_name,ga,An Ché Theas,8410B3357001,
stops,stop_name,ga,An Chealtrach,8470B530901,
stops,stop_name,ga,An Chealtrach,8470B530991,
stops,stop_name,ga,An Cheapach,8360B336291,
stops,stop_name,ga,An Cheapach,8360B337871,
stops,stop_name,ga,An Cheapach,8430B334831,
stops,stop_name,ga,An Cheapach,8430B335141,
stops,stop_name,ga,An Cheapach Ard,836000056,
stops,stop_name,ga,An Cheapach Chaol,828000029,
stops,stop_name,ga,An Cheapach Chaol,828000053,
stops,stop_name,ga,An Cheapach Dhubh,836000028,
stops,stop_name,ga,An Cheapach Dhubh,836000029,
stops,stop_name,ga,An Cheapach Mhór,8230DB007878,
stops,stop_name,ga,An Cheapach Mhór,8230DB007879,
stops,stop_name,ga,An Cheapach Mhór,8410B335131,
stops,stop_name,ga,An Cheapach Mhór,8410B3361401,
stops,stop_name,ga,An Cheapóg,8540LL12113,
stops,stop_name,ga,An Cheapóg,8540LL12114,
stops,stop_name,ga,An Cheappach Ard,836000050,
stops,stop_name,ga,An Chearnóg,8230DB008030,
stops,stop_name,ga,An Chearnóg,8230DB008031,
stops,stop_name,ga,An Chearnóg,8230DB008063,
stops,stop_name,ga,An Chearnóg,830000030,
stops,stop_name,ga,An Chearnóg,8300PB14845,
stops,stop_name,ga,An Chearnóg,8390PB000913,
stops,stop_name,ga,An Chearnóg,847000022,
stops,stop_name,ga,An Chearnóg,8470PB14411,
stops,stop_name,ga,An Cheárta,8400B6079301,
stops,stop_name,ga,An Cheathrú Chaol,853000164,
stops,stop_name,ga,An Cheathrú Chaol,8530LL12196,
stops,stop_name,ga,An Cheathrú Mhór,851000032,
stops,stop_name,ga,An Cheathrú Mhór,851000033,
stops,stop_name,ga,An Cheathrú Rua,8470B535321,
stops,stop_name,ga,An Cheathrú Rua,8470B6311701,
stops,stop_name,ga,An Cheathrú Rua,8510B5311201,
